,Access_And_Affordability,company,Air_Quality,Business_Ethics,Business_Model_Resilience,Competitive_Behavior,Critical_Incident_Risk_Management,Customer_Privacy,Customer_Welfare,Data_Security,Director_Removal,Ecological_Impacts,Employee_Engagement_Inclusion_And_Diversity,Employee_Health_And_Safety,Energy_Management,GHG_Emissions,Human_Rights_And_Community_Relations,Labor_Practices,Management_Of_Legal_And_Regulatory_Framework,Physical_Impacts_Of_Climate_Change,Product_Design_And_Lifecycle_Management,Product_Quality_And_Safety,Selling_Practices_And_Product_Labeling,Supply_Chain_Management,Systemic_Risk_Management,Waste_And_Hazardous_Materials_Management,Water_And_Wastewater_Management,rating
0,-0.2681182237881742,AAC,-0.5666231346790659,-0.1328296355821195,-0.0952730210875989,-0.4232889698333776,-0.5228258873978834,0.0,0,-0.2915703985308716,0.0394742868977867,-0.216509748012109,-0.1126759939203498,-0.0842858897045032,-0.034914342723248,-0.0359983158895697,-0.0544968854217067,-0.1994053211230727,-0.0499494775744455,-0.0911162018155617,-0.1921657332193767,-0.314724129722523,0.4903665409747946,-0.0731189944459186,-0.0205885808534351,-0.2088687103843241,-0.2291922414634169,4
1,-0.5151790659167373,ADNOC,-0.3710652077333082,-0.1491553116628172,-0.3463991341991336,-0.4891382826389014,-0.1215402470141068,-0.2389665897572923,0,-0.2130250275302287,-0.1147706678407992,-0.2573838541088185,-0.070360784808259,-0.1156735567501707,-0.1725318278740841,-0.1178044149210009,-0.1199584695522957,-0.2104608378921734,-0.0816529695037871,-0.1280359643715489,-0.136544287240629,-0.1246077174985337,0.0,-0.1408413215464795,-0.0809519881844785,-0.2634473237148641,-0.2161579770065847,4
2,0.0,AGC,-0.3197477942882018,-0.0924010679712774,-0.2167997661261765,-0.431880596459297,-0.3688835424890447,0.0,0,0.0,-0.1843845078385538,-0.057633647183185,-0.0522796187828233,-0.1700579915324263,-0.2029308387667166,-0.1275164688706925,-0.1192259224522795,-0.110363885072352,-0.0340534884528475,-0.091563935478929,-0.179374082835198,0.0,0.0180860988607909,-0.1694382948248169,-0.1682302955113149,-0.2614141460776604,-0.1519894370653681,4
3,-0.3604511614900791,Albilad,0.0,-0.1504413195717957,-0.2158729681675376,-0.0679772017227889,0.0893681450325557,-0.1546853648269758,0,-0.2143231020049953,0.0,-0.3391744353878696,-0.0558826091085999,-0.0235373405033983,-0.0923223612729569,-0.0133290918785381,-0.0792539874980628,-0.0496769429476898,-0.0996592087750056,-0.1690910484053352,-0.1238671787442334,0.0,0.32602594199007,-0.1583371750836598,-0.1715508446848764,-0.1527539286310132,-0.1289724221568226,4
4,-0.3094224048059115,Aldar,-0.3802918726198593,-0.1460220032369254,-0.3777270671010283,-0.5255255418600883,-0.4897568141249233,0.0,0,-0.2988027034525438,0.0,-0.3353939608258991,-0.0906086895737109,-0.1530911051541739,-0.1299793711083311,-0.0380249461728395,-0.1739065366963773,-0.0552745253250821,-0.1012777767035886,-0.1137834800942175,-0.1171585858233311,0.4179626712329622,0.0,-0.168584297058483,-0.2083750832309454,-0.2985086072362921,-0.3027556228531698,4
5,-0.4186061211838777,Alibaba,-0.3143606598434024,-0.1479965269046673,-0.2096938749001822,-0.2902204883173208,-0.4056629507018899,-0.3593667132828334,0,-0.2045538244113059,-0.1191697234410515,-0.1992695008517095,-0.0729272276154572,-0.1818953791127665,-0.16000581852649,-0.0584268363286153,-0.1339992935574595,-0.1975393114136431,-0.152290851282321,-0.0893143480196328,-0.199240703218656,-0.2507733665781426,-0.3734729882853368,-0.1963826971366051,-0.0966668778529055,-0.2750257273269246,-0.2683083437674209,4
6,-0.4796530272461165,Alinma,-0.3099255954614752,-0.1546179965109029,-0.2969413999550707,-0.7923603037408754,0.0998847479904053,-0.3759760366380245,0,-0.2095037336919581,-0.0438338074054696,0.120829052786683,-0.0491850298372321,0.0227281201876497,-0.0893666655325909,-0.0185321861934864,-0.1272890611105911,0.0255147020431164,-0.0860721842303791,-0.1566194054849391,-0.1134922907838042,0.0,0.4554687623386172,-0.0860188086250511,-0.1868499583083056,-0.1548191048070127,-0.1395859776830236,4
7,-0.2909816308937386,Alphabet,-0.4526549979553619,-0.155580172955468,-0.2496512284680516,0.0,-0.4945665080710418,-0.4868891990517732,0,-0.3261461059192592,0.0,-0.3242664487463053,0.0,-0.2437168963368358,-0.1289920608276366,-0.1207814893523097,-0.1798377149798937,-0.2205448724881692,-0.0885436994174464,-0.1861978421018523,-0.0914814329658834,-0.6274389229437878,-0.5780525278073887,-0.2211483359074019,-0.2419269821094601,-0.1961812969502134,-0.2577882385255783,4
8,-0.4780960171268316,Amazon,-0.372032196035085,-0.1479103692643063,-0.3377817044271683,0.0,-0.414747524392064,0.0,0,0.0,0.0,-0.2557257653606504,-0.0774273225894487,-0.155130184975111,-0.1048514992445579,-0.1023455710295575,-0.08622259824393,-0.2662941644607133,-0.1033678390716038,-0.1788279399520789,-0.1543931479621782,-0.0380169424966352,-0.2209202216278299,-0.123247332986852,0.1998828074439539,-0.2573057795051816,-0.2521722523701006,4
9,0.0,Amphenol,-0.4092154522099072,-0.1350651058681247,0.0,0.0,-0.5537625072953325,-0.2285093414647077,0,-0.2059243923248972,-0.3275393395070406,-0.1765285490555645,-0.0301782233557169,-0.0963402325702711,-0.021751742878639,-0.0554965142181791,-0.1172623368433929,-0.189627066450144,-0.0474933391053999,-0.1975997416477992,-0.1398783183385857,-0.6123149155018599,0.0,-0.0905682415970001,-0.0578136290311777,-0.2006732675668244,-0.2010252523720149,4
