,Access_And_Affordability,company,Air_Quality,Business_Ethics,Business_Model_Resilience,Competitive_Behavior,Critical_Incident_Risk_Management,Customer_Privacy,Customer_Welfare,Data_Security,Director_Removal,Ecological_Impacts,Employee_Engagement_Inclusion_And_Diversity,Employee_Health_And_Safety,Energy_Management,GHG_Emissions,Human_Rights_And_Community_Relations,Labor_Practices,Management_Of_Legal_And_Regulatory_Framework,Physical_Impacts_Of_Climate_Change,Product_Design_And_Lifecycle_Management,Product_Quality_And_Safety,Selling_Practices_And_Product_Labeling,Supply_Chain_Management,Systemic_Risk_Management,Waste_And_Hazardous_Materials_Management,Water_And_Wastewater_Management,rating
0,0.0,Amlogic,0.0,-0.1951967407809682,0.0,-0.598509977901681,-0.3622488299717451,-0.2283904022696964,0,-0.1485272100593384,-0.1726196051987469,-0.2606964009497464,-0.0753743727958966,0.0062495043767306,-0.0389177048422451,0.0,-0.2580710734487525,-0.1748932330859828,-0.1423466704556642,0.3824297887960033,-0.1877637012468415,0.0055669932674774,0.0,-0.150338730579824,-0.0130049196645484,-0.5416291001911553,0.0437740208770537,1
1,-0.4216745805052962,AviChina,-0.4265624566428442,-0.1529369680117282,-0.2724051513689588,-0.412067760110779,-0.3300377842551598,-0.3667559085713925,0,-0.2472012873027897,-0.1114516743273476,-0.1626880749014977,-0.0719453827430686,-0.1451722016391511,-0.1299343050614231,-0.0331825029785555,-0.0105492793150933,-0.2082074184002436,-0.0137071430066558,-0.0854192474958166,-0.1545224338299188,-0.2259875635163026,0.0,-0.0940138404308315,0.0275229316667876,-0.1600527813165044,-0.2824529860657295,1
2,-0.3751290164451452,Dino,-0.3617918302860386,-0.1143288517247554,-0.2552021068277578,-0.370269048976907,-0.4801595953495197,-0.3222048269760588,0,-0.2234132799658533,-0.2337014513374181,-0.1783578362954576,-0.0767025244946206,-0.2177773545858755,-0.1882996237712435,-0.064132060047466,-0.1887868778671002,-0.2566691287267295,-0.0756584502126187,-0.127521159648578,-0.2362067920354928,-0.3941800520346824,-0.2766646088872638,-0.0055055290472733,-0.1561146351069157,-0.3731877800861549,-0.081377272009066,1
3,-0.5311151259716566,Getinge,-0.3840002865095259,-0.1652202889690004,-0.0926746952160652,-0.6730972489812956,-0.0639802573564233,-0.0032614810352521,0,-0.2691348332734127,-0.1351361132535262,0.2461362493695427,-0.0990604100072896,-0.143737545184826,-0.1181242527407124,0.0312276566586607,-0.0850746790570653,-0.0612093521579982,-0.0547287139637715,-0.1451576905818813,-0.1482250443312118,-0.4471263834371896,-0.1729215223348624,-0.1546392929920974,-0.1647373957530263,-0.2312776567216603,-0.2199317687960026,1
4,-0.3013586761462273,Meta,-0.3880686282883023,-0.2560707251713864,-0.1858611902758163,-0.3043139722188141,-0.7911080650986642,-0.2239433724320257,0,0.0,0.0,-0.3498874779667883,-0.0168447458748434,-0.2183108315774107,-0.0797718745976312,-0.1125437436801868,-0.0406031867367432,-0.111682652256717,-0.0543134888802944,-0.2197631060978542,-0.2196975681985432,0.0,0.0,-0.1313325674052433,0.0,-0.334557032351737,-0.2066848168721122,2
5,-0.3075139955215582,Southwest,-0.3299966419001732,-0.0787966135416944,-0.3604642553074534,-0.3139548356260084,-0.3689787425020179,-0.1972512930423651,0,-0.1670073697545695,-0.1322120200839062,-0.0132138293841938,-0.0635410420807518,-0.1782992453334542,-0.1965128916708545,-0.1366019746546121,-0.1133855107524906,-0.1999125552127605,-0.1221988748944137,-0.149332840758311,-0.2281875613992241,-0.2587380059807149,0.0,-0.1866594423033886,-0.1231853806900014,-0.2840961910233586,-0.2290552193151446,2
6,-0.4425891127940291,SSC,0.0,-0.1556408902791319,-0.3282098758403124,0.0,0.0,-0.2302139043056122,0,-0.1975987238054835,-0.271637276616437,0.0,-0.0482888620894689,-0.0064252465084711,-0.1837482810122499,-0.096040990076236,-0.0069246625156845,-0.2568634025237968,-0.1103996134385669,0.0,-0.3806738836902244,0.0,0.0,0.0487426368592385,-0.0671797204799923,-0.2531239006720343,0.0,1
7,0.0,Supermicro,-0.202507502048984,-0.1217940450490173,0.0,0.0,-0.5009910500727469,-0.1285873980971113,0,-0.3198505923435856,0.0,0.0,-0.0731065412886545,-0.0948617025748518,-0.174402828825424,-0.0043758824274372,0.0142940629840315,-0.0371315160861852,-0.0791447138064977,0.0204508967458804,-0.1563278869839207,-0.2632213594415889,0.0,-0.0527885684053328,0.0,-0.1060550248217222,0.1067409859016577,2
